,,ip,mfg,mfgd,mfgn,min,util,p,mat
1947,1,21.4,20.4,19.1,21.6,54.8,10,21,21.7
1947,2,21.5,20.4,19.4,21.5,55.4,10.1,21,21.8
1947,3,21.7,20.5,19.6,21.5,56.4,10.2,21.1,22.6
1947,4,21.5,20.6,19.8,21.3,51.7,10.4,21.1,22
1947,5,21.6,20.4,19.8,21.1,55.9,10.6,21.2,22.1
1947,6,21.6,20.4,19.9,21,55.5,10.6,21.1,21.9
1947,7,21.5,20.3,19.4,21.2,56.3,10.7,21.1,21.7
1947,8,21.6,20.4,19.4,21.3,57.3,10.8,21.2,21.6
1947,9,21.7,20.5,19.7,21.4,57.9,10.9,21.4,21.9
1947,10,22,20.8,19.8,21.8,57.7,11,21.7,22.1
1947,11,22.3,21.1,20.1,22,58.2,11.1,22,22.6
1947,12,22.3,21.1,20.2,22,58.1,11.2,22.1,22.3
1948,1,22.5,21.2,20.4,22,58.9,11.4,22.2,22.4
1948,2,22.5,21.2,20.2,22.2,59,11.4,22.2,22.6
1948,3,22.3,21.2,20.4,22,53.2,11.7,22.2,22.3
1948,4,22.3,21.2,20.1,22.3,54.5,11.6,22.1,22.2
1948,5,22.7,21.4,20.4,22.4,61.3,11.7,22.1,23.3
1948,6,23,21.6,20.6,22.5,61.3,11.8,22.3,23.4
1948,7,23,21.6,21,22.4,61.3,11.9,22.4,23.5
1948,8,22.9,21.5,20.9,22.2,61.1,12,22.4,23.2
1948,9,22.7,21.4,20.7,22.1,59.8,12.2,22.2,23.3
1948,10,22.9,21.5,20.9,22.1,60.5,12.3,22.4,23.3
1948,11,22.6,21.2,20.6,21.9,59.6,12.4,22.2,23.1
1948,12,22.4,21.1,20.2,21.8,59.5,12.4,22,23
1949,1,22.2,20.8,19.9,21.7,58,12.3,21.6,22.6
1949,2,22,20.6,19.6,21.7,57.8,12.4,21.4,22.4
1949,3,21.5,20.4,19.3,21.6,52.4,12.4,21.4,21.5
1949,4,21.4,20,18.9,21.2,57.1,12.4,21.3,21.2
1949,5,21.1,19.8,18.4,21.2,56.1,12.4,21.3,20.6
1949,6,21.1,19.8,18.4,21.4,52.2,12.6,21.2,20.3
